epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,284.605,1.75607,2.57388,1.53877,0.30413,0.35945,0.28992,0.14017,1.7322,2.48996,1.52957,0.000173313,0.000173313,0.000173313
75,288.382,1.69603,2.474,1.49565,0.30848,0.36202,0.2779,0.13619,1.70871,2.48674,1.50915,0.000167125,0.000167125,0.000167125
76,292.075,1.74104,2.51071,1.53766,0.28584,0.35308,0.25582,0.12351,1.73634,2.52046,1.53589,0.000160938,0.000160938,0.000160938
77,295.793,1.68254,2.42714,1.50558,0.28343,0.36507,0.25363,0.12139,1.73002,2.55872,1.53931,0.00015475,0.00015475,0.00015475
78,299.652,1.69607,2.37527,1.50926,0.29906,0.36502,0.2608,0.12749,1.70422,2.53776,1.52613,0.000148563,0.000148563,0.000148563
79,303.366,1.76984,2.51082,1.52826,0.30903,0.36065,0.27496,0.1359,1.68691,2.46799,1.50717,0.000142375,0.000142375,0.000142375
80,307.061,1.68339,2.4358,1.51596,0.30693,0.35976,0.29067,0.14158,1.69549,2.4441,1.50605,0.000136187,0.000136187,0.000136187
81,310.723,1.68322,2.42156,1.49162,0.31843,0.36616,0.29777,0.14281,1.72297,2.44545,1.52231,0.00013,0.00013,0.00013
82,314.564,1.66647,2.40649,1.49429,0.31522,0.37568,0.29509,0.14126,1.72969,2.45023,1.53598,0.000123812,0.000123812,0.000123812
83,318.296,1.61374,2.35732,1.45063,0.31366,0.39749,0.30203,0.14525,1.73055,2.44827,1.54425,0.000117625,0.000117625,0.000117625
84,321.991,1.71421,2.51158,1.52256,0.3006,0.39579,0.3046,0.14786,1.72985,2.44744,1.54076,0.000111438,0.000111438,0.000111438
85,325.674,1.74639,2.5163,1.53802,0.30905,0.39069,0.30066,0.14778,1.71993,2.44984,1.53153,0.00010525,0.00010525,0.00010525
86,329.398,1.68235,2.41722,1.5082,0.33029,0.33635,0.29773,0.14546,1.70949,2.45083,1.51396,9.90625e-05,9.90625e-05,9.90625e-05
87,333.211,1.63477,2.43027,1.4699,0.35314,0.34117,0.30329,0.1483,1.69543,2.43756,1.50055,9.2875e-05,9.2875e-05,9.2875e-05
88,336.923,1.68055,2.38574,1.50349,0.3427,0.35046,0.30613,0.15045,1.68752,2.40854,1.49451,8.66875e-05,8.66875e-05,8.66875e-05
89,340.659,1.59659,2.33392,1.47103,0.32636,0.37704,0.30819,0.15246,1.68817,2.40197,1.49817,8.05e-05,8.05e-05,8.05e-05
90,344.51,1.67195,2.42145,1.51014,0.32243,0.3807,0.30301,0.15252,1.68433,2.38779,1.50625,7.43125e-05,7.43125e-05,7.43125e-05
91,356.636,1.59837,2.42785,1.44354,0.32388,0.40366,0.29801,0.15262,1.6669,2.36729,1.49916,6.8125e-05,6.8125e-05,6.8125e-05
92,360.508,1.57711,2.5096,1.45114,0.34165,0.38595,0.30548,0.15379,1.66494,2.3528,1.49955,6.19375e-05,6.19375e-05,6.19375e-05
93,364.229,1.47906,2.34953,1.40278,0.33844,0.38088,0.29863,0.1488,1.66211,2.35728,1.49648,5.575e-05,5.575e-05,5.575e-05
94,367.92,1.62217,2.50537,1.50348,0.33298,0.37912,0.2962,0.14563,1.67099,2.37541,1.49556,4.95625e-05,4.95625e-05,4.95625e-05
95,371.588,1.6054,2.49406,1.45581,0.35756,0.35538,0.29472,0.14265,1.68046,2.39091,1.50161,4.3375e-05,4.3375e-05,4.3375e-05
96,375.373,1.51035,2.34638,1.40274,0.35712,0.35565,0.29926,0.14547,1.67436,2.40326,1.50668,3.71875e-05,3.71875e-05,3.71875e-05
97,378.999,1.52057,2.28818,1.41809,0.35539,0.35547,0.30051,0.14611,1.67224,2.40342,1.50563,3.1e-05,3.1e-05,3.1e-05
98,382.68,1.43334,2.28946,1.38461,0.33801,0.38936,0.30397,0.14781,1.67766,2.40466,1.51145,2.48125e-05,2.48125e-05,2.48125e-05
99,386.345,1.47645,2.26965,1.39328,0.33057,0.3883,0.30242,0.14951,1.67721,2.39461,1.51243,1.8625e-05,1.8625e-05,1.8625e-05
100,390.107,1.41388,2.29608,1.39355,0.33286,0.38914,0.30454,0.1515,1.67259,2.38761,1.50912,1.24375e-05,1.24375e-05,1.24375e-05
